Plate           	Well	Group	Type   	Sample     	Wavelength	Abs  	Meas. Time [s]
T5.2_screen_expt	 A01	Assay	Unknown	Un_0001 1/1	620       	0.038	0.000         
T5.2_screen_expt	 B01	Assay	Unknown	Un_0002 1/1	620       	0.038	0.750         
T5.2_screen_expt	 C01	Assay	Unknown	Un_0003 1/1	620       	0.038	1.300         
T5.2_screen_expt	 D01	Assay	Unknown	Un_0004 1/1	620       	0.038	2.050         
T5.2_screen_expt	 E01	Assay	Unknown	Un_0005 1/1	620       	0.045	2.600         
T5.2_screen_expt	 F01	Assay	Unknown	Un_0006 1/1	620       	0.041	3.350         
T5.2_screen_expt	 G01	Assay	Unknown	Un_0007 1/1	620       	0.038	3.900         
T5.2_screen_expt	 H01	Assay	Unknown	Un_0008 1/1	620       	0.039	4.650         
T5.2_screen_expt	 I01	Assay	Unknown	Un_0009 1/1	620       	0.038	5.200         
T5.2_screen_expt	 J01	Assay	Unknown	Un_0010 1/1	620       	0.039	5.950         
T5.2_screen_expt	 K01	Assay	Unknown	Un_0011 1/1	620       	0.039	6.500         
T5.2_screen_expt	 L01	Assay	Unknown	Un_0012 1/1	620       	0.038	7.250         
T5.2_screen_expt	 M01	Assay	Unknown	Un_0013 1/1	620       	0.038	7.800         
T5.2_screen_expt	 N01	Assay	Unknown	Un_0014 1/1	620       	0.039	8.550         
T5.2_screen_expt	 O01	Assay	Unknown	Un_0015 1/1	620       	0.038	9.100         
T5.2_screen_expt	 P01	Assay	Unknown	Un_0016 1/1	620       	0.039	9.850         
T5.2_screen_expt	 A02	Assay	Unknown	Un_0017 1/1	620       	0.038	0.020         
T5.2_screen_expt	 B02	Assay	Unknown	Un_0018 1/1	620       	0.151	0.740         
T5.2_screen_expt	 C02	Assay	Unknown	Un_0019 1/1	620       	0.158	1.310         
T5.2_screen_expt	 D02	Assay	Unknown	Un_0020 1/1	620       	0.042	2.040         
T5.2_screen_expt	 E02	Assay	Unknown	Un_0021 1/1	620       	0.145	2.610         
T5.2_screen_expt	 F02	Assay	Unknown	Un_0022 1/1	620       	0.138	3.340         
T5.2_screen_expt	 G02	Assay	Unknown	Un_0023 1/1	620       	0.157	3.910         
T5.2_screen_expt	 H02	Assay	Unknown	Un_0024 1/1	620       	0.153	4.640         
T5.2_screen_expt	 I02	Assay	Unknown	Un_0025 1/1	620       	0.140	5.210         
T5.2_screen_expt	 J02	Assay	Unknown	Un_0026 1/1	620       	0.143	5.940         
T5.2_screen_expt	 K02	Assay	Unknown	Un_0027 1/1	620       	0.145	6.510         
T5.2_screen_expt	 L02	Assay	Unknown	Un_0028 1/1	620       	0.144	7.240         
T5.2_screen_expt	 M02	Assay	Unknown	Un_0029 1/1	620       	0.155	7.810         
T5.2_screen_expt	 N02	Assay	Unknown	Un_0030 1/1	620       	0.152	8.540         
T5.2_screen_expt	 O02	Assay	Unknown	Un_0031 1/1	620       	0.162	9.110         
T5.2_screen_expt	 P02	Assay	Unknown	Un_0032 1/1	620       	0.038	9.840         
T5.2_screen_expt	 A03	Assay	Unknown	Un_0033 1/1	620       	0.038	0.030         
T5.2_screen_expt	 B03	Assay	Unknown	Un_0034 1/1	620       	0.149	0.730         
T5.2_screen_expt	 C03	Assay	Unknown	Un_0035 1/1	620       	0.096	1.320         
T5.2_screen_expt	 D03	Assay	Unknown	Un_0036 1/1	620       	0.118	2.030         
T5.2_screen_expt	 E03	Assay	Unknown	Un_0037 1/1	620       	0.156	2.620         
T5.2_screen_expt	 F03	Assay	Unknown	Un_0038 1/1	620       	0.142	3.330         
T5.2_screen_expt	 G03	Assay	Unknown	Un_0039 1/1	620       	0.056	3.920         
T5.2_screen_expt	 H03	Assay	Unknown	Un_0040 1/1	620       	0.101	4.630         
T5.2_screen_expt	 I03	Assay	Unknown	Un_0041 1/1	620       	0.056	5.220         
T5.2_screen_expt	 J03	Assay	Unknown	Un_0042 1/1	620       	0.087	5.930         
T5.2_screen_expt	 K03	Assay	Unknown	Un_0043 1/1	620       	0.101	6.520         
T5.2_screen_expt	 L03	Assay	Unknown	Un_0044 1/1	620       	0.109	7.230         
T5.2_screen_expt	 M03	Assay	Unknown	Un_0045 1/1	620       	0.145	7.820         
T5.2_screen_expt	 N03	Assay	Unknown	Un_0046 1/1	620       	0.150	8.530         
T5.2_screen_expt	 O03	Assay	Unknown	Un_0047 1/1	620       	0.167	9.120         
T5.2_screen_expt	 P03	Assay	Unknown	Un_0048 1/1	620       	0.038	9.830         
T5.2_screen_expt	 A04	Assay	Unknown	Un_0049 1/1	620       	0.038	0.040         
T5.2_screen_expt	 B04	Assay	Unknown	Un_0050 1/1	620       	0.157	0.720         
T5.2_screen_expt	 C04	Assay	Unknown	Un_0051 1/1	620       	0.158	1.330         
T5.2_screen_expt	 D04	Assay	Unknown	Un_0052 1/1	620       	0.137	2.020         
T5.2_screen_expt	 E04	Assay	Unknown	Un_0053 1/1	620       	0.142	2.630         
T5.2_screen_expt	 F04	Assay	Unknown	Un_0054 1/1	620       	0.139	3.320         
T5.2_screen_expt	 G04	Assay	Unknown	Un_0055 1/1	620       	0.140	3.930         
T5.2_screen_expt	 H04	Assay	Unknown	Un_0056 1/1	620       	0.137	4.620         
T5.2_screen_expt	 I04	Assay	Unknown	Un_0057 1/1	620       	0.153	5.230         
T5.2_screen_expt	 J04	Assay	Unknown	Un_0058 1/1	620       	0.138	5.920         
T5.2_screen_expt	 K04	Assay	Unknown	Un_0059 1/1	620       	0.133	6.530         
T5.2_screen_expt	 L04	Assay	Unknown	Un_0060 1/1	620       	0.133	7.220         
T5.2_screen_expt	 M04	Assay	Unknown	Un_0061 1/1	620       	0.138	7.830         
T5.2_screen_expt	 N04	Assay	Unknown	Un_0062 1/1	620       	0.135	8.520         
T5.2_screen_expt	 O04	Assay	Unknown	Un_0063 1/1	620       	0.140	9.130         
T5.2_screen_expt	 P04	Assay	Unknown	Un_0064 1/1	620       	0.037	9.820         
T5.2_screen_expt	 A05	Assay	Unknown	Un_0065 1/1	620       	0.039	0.050         
T5.2_screen_expt	 B05	Assay	Unknown	Un_0066 1/1	620       	0.152	0.710         
T5.2_screen_expt	 C05	Assay	Unknown	Un_0067 1/1	620       	0.064	1.340         
T5.2_screen_expt	 D05	Assay	Unknown	Un_0068 1/1	620       	0.126	2.000         
T5.2_screen_expt	 E05	Assay	Unknown	Un_0069 1/1	620       	0.136	2.640         
T5.2_screen_expt	 F05	Assay	Unknown	Un_0070 1/1	620       	0.143	3.310         
T5.2_screen_expt	 G05	Assay	Unknown	Un_0071 1/1	620       	0.061	3.940         
T5.2_screen_expt	 H05	Assay	Unknown	Un_0072 1/1	620       	0.114	4.610         
T5.2_screen_expt	 I05	Assay	Unknown	Un_0073 1/1	620       	0.054	5.240         
T5.2_screen_expt	 J05	Assay	Unknown	Un_0074 1/1	620       	0.122	5.910         
T5.2_screen_expt	 K05	Assay	Unknown	Un_0075 1/1	620       	0.071	6.540         
T5.2_screen_expt	 L05	Assay	Unknown	Un_0076 1/1	620       	0.120	7.210         
T5.2_screen_expt	 M05	Assay	Unknown	Un_0077 1/1	620       	0.141	7.840         
T5.2_screen_expt	 N05	Assay	Unknown	Un_0078 1/1	620       	0.140	8.510         
