,source,volumn,destination
1,B02,4,A01
2,B02,4,A02
3,B02,4,A03
4,B02,4,A04
5,D02,4,B01
6,D02,4,B02
7,D02,4,B03
8,D02,4,B04
9,G02,4,C01
10,G02,4,C02
11,G02,4,C03
12,G02,4,C04
13,E03,4,D01
14,E03,4,D02
15,E03,4,D03
16,E03,4,D04
17,G03,4,E01
18,G03,4,E02
19,G03,4,E03
20,G03,4,E04
21,F04,4,F01
22,F04,4,F02
23,F04,4,F03
24,F04,4,F04
25,G04,4,G01
26,G04,4,G02
27,G04,4,G03
28,G04,4,G04
29,H04,4,H01
30,H04,4,H02
31,H04,4,H03
32,H04,4,H04
33,C05,4,A05
34,C05,4,A06
35,C05,4,A07
36,C05,4,A08
37,D05,4,B05
38,D05,4,B06
39,D05,4,B07
40,D05,4,B08
41,H05,4,C05
42,H05,4,C06
43,H05,4,C07
44,H05,4,C08
45,B06,4,D05
46,B06,4,D06
47,B06,4,D07
48,B06,4,D08
49,C06,4,E05
50,C06,4,E06
51,C06,4,E07
52,C06,4,E08
53,E06,4,F05
54,E06,4,F06
55,E06,4,F07
56,E06,4,F08
57,G06,4,G05
58,G06,4,G06
59,G06,4,G07
60,G06,4,G08
61,A07,4,H05
62,A07,4,H06
63,A07,4,H07
64,A07,4,H08
65,B07,4,A09
66,B07,4,A10
67,B07,4,A11
68,B07,4,A12
69,E10,4,B09
70,E10,4,B10
71,E10,4,B11
72,E10,4,B12
73,H10,4,C09
74,H10,4,C10
75,H10,4,C11
76,H10,4,C12
77,C11,4,D09
78,C11,4,D10
79,C11,4,D11
80,C11,4,D12
81,B12,4,E09
82,B12,4,E10
83,B12,4,E11
84,B12,4,E12
85,D12,4,F09
86,D12,4,F10
87,D12,4,F11
88,D12,4,F12
89,E12,4,G09
90,E12,4,G10
91,E12,4,G11
92,E12,4,G12
