"","source"
"1","C05"
"2","C05"
"3","C05"
"4","C05"
"5","B05"
"6","B05"
"7","B05"
"8","B05"
"9","G07"
"10","G07"
"11","G07"
"12","G07"
"13","D01"
"14","D01"
"15","D01"
"16","D01"
"17","B01"
"18","B01"
"19","B01"
"20","B01"
"21","E11"
"22","E11"
"23","E11"
"24","E11"
"25","F08"
"26","F08"
"27","F08"
"28","F08"
"29","C08"
"30","C08"
"31","C08"
"32","C08"
"33","G12"
"34","G12"
"35","G12"
"36","G12"
"37","G09"
"38","G09"
"39","G09"
"40","G09"
"41","G10"
"42","G10"
"43","G10"
"44","G10"
"45","F12"
"46","F12"
"47","F12"
"48","F12"
"49","A09"
"50","A09"
"51","A09"
"52","A09"
"53","E10"
"54","E10"
"55","E10"
"56","E10"
"57","A11"
"58","A11"
"59","A11"
"60","A11"
"61","F10"
"62","F10"
"63","F10"
"64","F10"
"65","E12"
"66","E12"
"67","E12"
"68","E12"
"69","H07"
"70","H07"
"71","H07"
"72","H07"
"73","H01"
"74","H01"
"75","H01"
"76","H01"
"77","A07"
"78","A07"
"79","A07"
"80","A07"
"81","A05"
"82","A05"
"83","A05"
"84","A05"
"85","H05"
"86","H05"
"87","H05"
"88","H05"
"89","D12"
"90","D12"
"91","D12"
"92","D12"
"93","A03"
"94","A03"
"95","A03"
"96","A03"
