"well" "media" "inoc" "row" "col"
"1" "A01" "B" FALSE 1 "1"
"2" "B01" "B" FALSE 2 "1"
"3" "C01" "B" FALSE 3 "1"
"4" "D01" "B" FALSE 4 "1"
"5" "E01" "B" FALSE 5 "1"
"6" "F01" "B" FALSE 6 "1"
"7" "G01" "B" FALSE 7 "1"
"8" "H01" "B" FALSE 8 "1"
"9" "I01" "B" FALSE 9 "1"
"10" "J01" "B" FALSE 10 "1"
"11" "K01" "B" FALSE 11 "1"
"12" "L01" "B" FALSE 12 "1"
"13" "M01" "B" FALSE 13 "1"
"14" "N01" "B" FALSE 14 "1"
"15" "O01" "B" FALSE 15 "1"
"16" "P01" "B" FALSE 16 "1"
"17" "A02" "B" FALSE 1 "2"
"18" "B02" "A06" TRUE 2 "2"
"19" "C02" "B05" TRUE 3 "2"
"20" "D02" "B06" TRUE 4 "2"
"21" "E02" "C05" TRUE 5 "2"
"22" "F02" "C06" TRUE 6 "2"
"23" "G02" "D05" TRUE 7 "2"
"24" "H02" "D06" TRUE 8 "2"
"25" "I02" "E05" TRUE 9 "2"
"26" "J02" "E06" TRUE 10 "2"
"27" "K02" "F05" TRUE 11 "2"
"28" "L02" "F06" TRUE 12 "2"
"29" "M02" "G05" TRUE 13 "2"
"30" "N02" "G06" TRUE 14 "2"
"31" "O02" "H05" TRUE 15 "2"
"32" "P02" "B" FALSE 16 "2"
"33" "A03" "B" FALSE 1 "3"
"34" "B03" "A01" TRUE 2 "3"
"35" "C03" "H02" TRUE 3 "3"
"36" "D03" "A03" TRUE 4 "3"
"37" "E03" "H04" TRUE 5 "3"
"38" "F03" "A05" TRUE 6 "3"
"39" "G03" "H06" TRUE 7 "3"
"40" "H03" "A07" TRUE 8 "3"
"41" "I03" "H08" TRUE 9 "3"
"42" "J03" "A09" TRUE 10 "3"
"43" "K03" "H10" TRUE 11 "3"
"44" "L03" "A11" TRUE 12 "3"
"45" "M03" "H12" TRUE 13 "3"
"46" "N03" "M9g" TRUE 14 "3"
"47" "O03" "M9g" TRUE 15 "3"
"48" "P03" "M9g" FALSE 16 "3"
"49" "A04" "B" FALSE 1 "4"
"50" "B04" "A10" TRUE 2 "4"
"51" "C04" "B09" TRUE 3 "4"
"52" "D04" "B10" TRUE 4 "4"
"53" "E04" "C09" TRUE 5 "4"
"54" "F04" "C10" TRUE 6 "4"
"55" "G04" "D09" TRUE 7 "4"
"56" "H04" "D10" TRUE 8 "4"
"57" "I04" "E09" TRUE 9 "4"
"58" "J04" "E10" TRUE 10 "4"
"59" "K04" "F09" TRUE 11 "4"
"60" "L04" "F10" TRUE 12 "4"
"61" "M04" "G09" TRUE 13 "4"
"62" "N04" "G10" TRUE 14 "4"
"63" "O04" "H09" TRUE 15 "4"
"64" "P04" "B" FALSE 16 "4"
"65" "A05" "M9g" FALSE 1 "5"
"66" "B05" "M9g" TRUE 2 "5"
"67" "C05" "M9g" TRUE 3 "5"
"68" "D05" "M9g" TRUE 4 "5"
"69" "E05" "M9g" TRUE 5 "5"
"70" "F05" "M9g" TRUE 6 "5"
"71" "G05" "M9g" TRUE 7 "5"
"72" "H05" "M9g" TRUE 8 "5"
"73" "I05" "M9g" TRUE 9 "5"
"74" "J05" "M9g" TRUE 10 "5"
"75" "K05" "M9g" TRUE 11 "5"
"76" "L05" "M9g" TRUE 12 "5"
"77" "M05" "M9g" TRUE 13 "5"
"78" "N05" "M9g" TRUE 14 "5"
"79" "O05" "M9g" TRUE 15 "5"
"80" "P05" "M9g" FALSE 16 "5"
"81" "A06" "B" FALSE 1 "6"
"82" "B06" "A10" TRUE 2 "6"
"83" "C06" "B09" TRUE 3 "6"
"84" "D06" "B10" TRUE 4 "6"
"85" "E06" "C09" TRUE 5 "6"
