"well" "media" "inoc"
"1" "A01" "B" FALSE
"2" "B01" "B" FALSE
"3" "C01" "B" FALSE
"4" "D01" "B" FALSE
"5" "E01" "B" FALSE
"6" "F01" "B" FALSE
"7" "G01" "B" FALSE
"8" "H01" "B" FALSE
"9" "I01" "B" FALSE
"10" "J01" "B" FALSE
"11" "K01" "B" FALSE
"12" "L01" "B" FALSE
"13" "M01" "B" FALSE
"14" "N01" "B" FALSE
"15" "O01" "B" FALSE
"16" "P01" "B" FALSE
"17" "A02" "B" FALSE
"18" "B02" "A04" TRUE
"19" "C02" "B03" TRUE
"20" "D02" "B04" TRUE
"21" "E02" "C03" TRUE
"22" "F02" "C04" TRUE
"23" "G02" "D03" TRUE
"24" "H02" "D04" TRUE
"25" "I02" "E03" TRUE
"26" "J02" "E04" TRUE
"27" "K02" "F03" TRUE
"28" "L02" "F04" TRUE
"29" "M02" "G03" TRUE
"30" "N02" "G04" TRUE
"31" "O02" "H03" TRUE
"32" "P02" "B" FALSE
"33" "A03" "B" FALSE
"34" "B03" "A10" TRUE
"35" "C03" "B09" TRUE
"36" "D03" "B10" TRUE
"37" "E03" "C09" TRUE
"38" "F03" "C10" TRUE
"39" "G03" "D09" TRUE
"40" "H03" "D10" TRUE
"41" "I03" "E09" TRUE
"42" "J03" "E10" TRUE
"43" "K03" "F09" TRUE
"44" "L03" "F10" TRUE
"45" "M03" "G09" TRUE
"46" "N03" "G10" TRUE
"47" "O03" "H09" TRUE
"48" "P03" "B" FALSE
"49" "A04" "B" FALSE
"50" "B04" "A02" TRUE
"51" "C04" "B01" TRUE
"52" "D04" "B02" TRUE
"53" "E04" "C01" TRUE
"54" "F04" "C02" TRUE
"55" "G04" "D01" TRUE
"56" "H04" "D02" TRUE
"57" "I04" "E01" TRUE
"58" "J04" "E02" TRUE
"59" "K04" "F01" TRUE
"60" "L04" "F02" TRUE
"61" "M04" "G01" TRUE
"62" "N04" "G02" TRUE
"63" "O04" "H01" TRUE
"64" "P04" "B" FALSE
"65" "A05" "B" FALSE
"66" "B05" "A12" TRUE
"67" "C05" "B11" TRUE
"68" "D05" "B12" TRUE
"69" "E05" "C11" TRUE
"70" "F05" "C12" TRUE
"71" "G05" "D11" TRUE
"72" "H05" "D12" TRUE
"73" "I05" "E11" TRUE
"74" "J05" "E12" TRUE
"75" "K05" "F11" TRUE
"76" "L05" "F12" TRUE
"77" "M05" "G11" TRUE
"78" "N05" "G12" TRUE
"79" "O05" "H11" TRUE
"80" "P05" "B" FALSE
"81" "A06" "M9g" FALSE
"82" "B06" "M9g" TRUE
"83" "C06" "M9g" TRUE
"84" "D06" "M9g" TRUE
"85" "E06" "M9g" TRUE
"86" "F06" "M9g" TRUE
"87" "G06" "M9g" TRUE
"88" "H06" "M9g" TRUE
"89" "I06" "M9g" TRUE
"90" "J06" "M9g" TRUE
"91" "K06" "M9g" TRUE
"92" "L06" "M9g" TRUE
"93" "M06" "M9g" TRUE
"94" "N06" "M9g" TRUE
"95" "O06" "M9g" TRUE
