Transfer,Experiment,MaxFunction,ErrorFunction,t,p.value,Asterisk
1,expt,0.1861,0.207,0,1,""
1,ctrl,0.1861,0.207,0,1,""
2,expt,0.1747,0.0295,0.39427964742079,0.729810234078523,""
2,ctrl,0.1815,0.0047,0.39427964742079,0.729810234078523,""
3,expt,0.28,0.0265,-0.0757103163828002,0.944456578780987,""
3,ctrl,0.2787,0.0135,-0.0757103163828002,0.944456578780987,""
4,expt,0.26,0.0851,-0.428398607133157,0.708386576434872,""
4,ctrl,0.2387,0.0132,-0.428398607133157,0.708386576434872,""
5,expt,0.2399,0.0094,-1.49986189149324,0.25393364219143,""
5,ctrl,0.2116,0.0313,-1.49986189149324,0.25393364219143,""
6,expt,0.1905,0.0066,6.00028279876527,0.00399496274224558,**
6,ctrl,0.2214,0.006,6.00028279876527,0.00399496274224558,**
7,expt,0.2285,0.0108,-2.47739340127438,0.0702052747999877,""
7,ctrl,0.2083,0.0091,-2.47739340127438,0.0702052747999877,""
8,expt,0.2464,0.0108,-9.02248913473256,0.000985407601075187,***
8,ctrl,0.1735,0.0089,-9.02248913473256,0.000985407601075187,***
9,expt,0.2165,0.0109,-3.00647589443975,0.0497848543877745,*
9,ctrl,0.1942,0.0068,-3.00647589443975,0.0497848543877745,*
10,expt,0.2041,0.0129,-0.0723890507776513,0.946989998400804,""
10,ctrl,0.2035,0.0063,-0.0723890507776513,0.946989998400804,""
11,expt,0.2032,0.01,-1.65970281957356,0.21315400378156,""
11,ctrl,0.1748,0.0279,-1.65970281957356,0.21315400378156,""
12,expt,0.144,0.015,3.3974530287492,0.0380519576741707,*
12,ctrl,0.2022,0.0256,3.3974530287492,0.0380519576741707,*
13,expt,0.1848,0.0087,-2.73312172028608,0.0692197432111046,""
13,ctrl,0.1562,0.0159,-2.73312172028608,0.0692197432111046,""
14,expt,0.1806,0.0152,-0.516464906180635,0.635758281378353,""
14,ctrl,0.1727,0.0217,-0.516464906180635,0.635758281378353,""
15,expt,0.2217,0.0199,-2.01991493238926,0.116572326310666,""
15,ctrl,0.1848,0.0246,-2.01991493238926,0.116572326310666,""
16,expt,0.2268,0.0184,-1.40006463974886,0.252026633469878,""
16,ctrl,0.1964,0.0328,-1.40006463974886,0.252026633469878,""
17,expt,0.2345,0.0198,-3.62385095165962,0.0323040070436212,*
17,ctrl,0.152,0.0341,-3.62385095165962,0.0323040070436212,*
