Transfer,Experiment,MeanCommunityFunction,SdCommunityFunction,t,p.value,Asterisk
1,ctrl,0.072,0.0333,0,1,""
2,ctrl,0.144,0.0237,0.852472273612596,0.399055025226423,""
3,ctrl,0.2545,0.0152,2.62268349188456,0.0129690730855573,*
4,ctrl,0.1765,0.0275,-0.742662097045552,0.461466310900363,""
5,ctrl,0.1718,0.0196,-1.87139223324832,0.0683387801248143,""
6,ctrl,0.1841,0.0197,2.93384379523559,0.00520678849812876,**
7,ctrl,0.1819,0.0122,0.214225775589284,0.831792384311436,""
8,ctrl,0.1513,0.0141,-14.8386382022763,8.84602722834317e-19,***
9,ctrl,0.1524,0.0245,-2.03756980358997,0.0474943277383905,*
10,ctrl,0.1568,0.0232,-1.88667653974567,0.0655442564789653,""
11,ctrl,0.1481,0.0176,-5.12727853237123,6.2409895947479e-06,***
12,ctrl,0.1602,0.0211,9.41671339887632,5.32699543702468e-12,***
13,ctrl,0.1253,0.0209,-4.49736281518938,4.8650662239665e-05,***
14,ctrl,0.1369,0.0416,-1.13697350486481,0.262674579240238,""
15,ctrl,0.146,0.0143,-6.65407270050006,1.02319462324358e-07,***
16,ctrl,0.1315,0.0308,-4.11103462748864,0.000161364866729175,***
17,ctrl,0.1168,0.0253,-10.4780675781011,9.57151317316508e-14,***
1,expt,0.072,0.0333,0,1,""
2,expt,0.1365,0.036,0.852472273612596,0.399055025226423,""
3,expt,0.2364,0.0302,2.62268349188456,0.0129690730855573,*
4,expt,0.1823,0.0266,-0.742662097045552,0.461466310900363,""
5,expt,0.1847,0.0275,-1.87139223324832,0.0683387801248143,""
6,expt,0.1675,0.0195,2.93384379523559,0.00520678849812876,**
7,expt,0.1805,0.0296,0.214225775589284,0.831792384311436,""
8,expt,0.2189,0.0173,-14.8386382022763,8.84602722834317e-19,***
9,expt,0.168,0.0284,-2.03756980358997,0.0474943277383905,*
10,expt,0.1698,0.02452,-1.88667653974567,0.0655442564789653,""
11,expt,0.1719,0.0144,-5.12727853237123,6.2409895947479e-06,***
12,expt,0.1093,0.016,9.41671339887632,5.32699543702468e-12,***
13,expt,0.1552,0.02498,-4.49736281518938,4.8650662239665e-05,***
14,expt,0.1482,0.0253,-1.13697350486481,0.262674579240238,""
15,expt,0.1869,0.0265,-6.65407270050006,1.02319462324358e-07,***
16,expt,0.167,0.029,-4.11103462748864,0.000161364866729175,***
17,expt,0.1908,0.0236,-10.4780675781011,9.57151317316508e-14,***
