Transfer,t,p.value,Asterisk
1,0,1,""
2,0.455274921148768,0.678452209848482,""
3,-0.0874227430880828,0.934123378715387,""
4,-0.494672102297578,0.653343402275357,""
5,-1.73189133360176,0.167638875755694,""
6,6.92852977816202,0.000465456386657754,***
7,-2.86064749422874,0.029703037245918,*
8,-10.4182730613966,5.76157700812471e-05,***
9,-3.47157933393382,0.0176589981164479,*
10,-0.083587675905717,0.937088247572129,""
11,-1.91645973931116,0.132357923075844,""
12,3.92304084141492,0.0118699194222457,*
13,-3.15593712187036,0.0278726734817994,*
14,-0.596362305220769,0.575175131577607,""
15,-2.33239685991017,0.0603053039715125,""
16,-1.61665539328377,0.170348401834001,""
17,-4.18446264488753,0.00934333669086121,**
