Transfer,t,p.value,Asterisk
1,0,1,""
2,0.852472273612596,0.399055025226423,""
3,2.62268349188456,0.0129690730855573,*
4,-0.742662097045552,0.461466310900363,""
5,-1.87139223324832,0.0683387801248143,""
6,2.93384379523559,0.00520678849812876,**
7,0.214225775589284,0.831792384311436,""
8,-14.8386382022763,8.84602722834317e-19,***
9,-2.03756980358997,0.0474943277383905,*
10,-1.88667653974567,0.0655442564789653,""
11,-5.12727853237123,6.2409895947479e-06,***
12,9.41671339887632,5.32699543702468e-12,***
13,-4.49736281518938,4.8650662239665e-05,***
14,-1.13697350486481,0.262674579240238,""
15,-6.65407270050006,1.02319462324358e-07,***
16,-4.11103462748864,0.000161364866729175,***
17,-10.4780675781011,9.57151317316508e-14,***
