Transfer,Experiment,Well,Row,Col,Wavelength,Abs,Media,Inoculation
1,ctrl,A01,1,1,620,0,B,FALSE
1,ctrl,A02,1,2,620,0.0095,B,FALSE
1,ctrl,A03,1,3,620,0,B,FALSE
1,ctrl,A04,1,4,620,0,B,FALSE
1,ctrl,A05,1,5,620,0,B,FALSE
1,ctrl,A06,1,6,620,5e-04,B,FALSE
1,ctrl,A07,1,7,620,5e-04,B,FALSE
1,ctrl,A08,1,8,620,0.0025,B,FALSE
1,ctrl,A09,1,9,620,5e-04,B,FALSE
1,ctrl,A10,1,0,620,5e-04,B,FALSE
1,ctrl,A11,1,1,620,0.0015,B,FALSE
1,ctrl,A12,1,2,620,5e-04,B,FALSE
1,ctrl,A13,1,3,620,5e-04,B,FALSE
1,ctrl,A14,1,4,620,0.0025,B,FALSE
1,ctrl,A15,1,5,620,5e-04,B,FALSE
1,ctrl,A16,1,6,620,5e-04,B,FALSE
1,ctrl,A17,1,7,620,5e-04,B,FALSE
1,ctrl,A18,1,8,620,5e-04,B,FALSE
1,ctrl,A19,1,9,620,5e-04,B,FALSE
1,ctrl,A20,1,0,620,5e-04,B,FALSE
1,ctrl,A21,1,1,620,5e-04,B,FALSE
1,ctrl,A22,1,2,620,0,B,FALSE
1,ctrl,A23,1,3,620,5e-04,M9g,FALSE
1,ctrl,A24,1,4,620,5e-04,M9g,FALSE
1,ctrl,B01,2,1,620,0,B,FALSE
1,ctrl,B02,2,2,620,0.0135,A02,TRUE
1,ctrl,B03,2,3,620,0.0065,A02,TRUE
1,ctrl,B04,2,4,620,0.0065,A02,TRUE
1,ctrl,B05,2,5,620,0.0065,A04,TRUE
1,ctrl,B06,2,6,620,0.0075,A04,TRUE
1,ctrl,B07,2,7,620,0.0075,A04,TRUE
1,ctrl,B08,2,8,620,0.0095,A06,TRUE
1,ctrl,B09,2,9,620,0.0095,A06,TRUE
1,ctrl,B10,2,0,620,0.0095,A06,TRUE
1,ctrl,B11,2,1,620,0.0085,A08,TRUE
1,ctrl,B12,2,2,620,0.0085,A08,TRUE
1,ctrl,B13,2,3,620,0.0085,A08,TRUE
1,ctrl,B14,2,4,620,0.0065,A10,TRUE
1,ctrl,B15,2,5,620,0.0065,A10,TRUE
1,ctrl,B16,2,6,620,0.0095,A10,TRUE
1,ctrl,B17,2,7,620,0.0065,A12,TRUE
1,ctrl,B18,2,8,620,0.0075,A12,TRUE
1,ctrl,B19,2,9,620,0.0085,A12,TRUE
1,ctrl,B20,2,0,620,0.0085,A01,TRUE
1,ctrl,B21,2,1,620,0.0085,A01,TRUE
1,ctrl,B22,2,2,620,0.0085,A01,TRUE
1,ctrl,B23,2,3,620,0.0935,M9g,TRUE
1,ctrl,B24,2,4,620,0,M9g,FALSE
1,ctrl,C01,3,1,620,0,B,FALSE
1,ctrl,C02,3,2,620,0.0095,B01,TRUE
1,ctrl,C03,3,3,620,0.0325,B01,TRUE
1,ctrl,C04,3,4,620,0.0095,B01,TRUE
1,ctrl,C05,3,5,620,0.0085,B03,TRUE
1,ctrl,C06,3,6,620,0.0075,B03,TRUE
1,ctrl,C07,3,7,620,0.0065,B03,TRUE
1,ctrl,C08,3,8,620,0.0065,B05,TRUE
1,ctrl,C09,3,9,620,0.00550000000000001,B05,TRUE
1,ctrl,C10,3,0,620,0.0075,B05,TRUE
1,ctrl,C11,3,1,620,0.2685,B07,TRUE
1,ctrl,C12,3,2,620,0.0065,B07,TRUE
