Transfer,Experiment,Media,MeanFunction,SdFunction,t,p.value,Asterisk
1,ctrl,E01,0.29844787143784,0.217368389899745,-0.374670187408022,0.743854705353409,""
2,ctrl,C11,0.0772200772200772,0.0210371570634202,-31.611375418055,2.4472317080582e-05,***
3,ctrl,C12,0.103826509252282,0.145026442901187,-4.93834270302583,0.0216311241276855,*
4,ctrl,D10,0.101206237128567,0.013366068480848,-18.5321527905403,0.000368715420773198,***
5,ctrl,F03,0.0589281743384479,0.0760867783452329,-4.56223410371429,0.0108805184494299,*
6,ctrl,E11,0.0404709345106696,0.0194683687348388,-8.00667747156197,0.011441966090678,*
7,ctrl,C09,0.118032786885246,0.00867459446250684,-27.5829703584544,1.5741143916738e-05,***
1,expt,D01,0.345486111111111,0.00601406530405861,-0.374670187408022,0.743854705353409,""
2,expt,E04,0.533984172768286,0.0135569135269753,-31.611375418055,2.4472317080582e-05,***
3,expt,A02,0.549283369365041,0.0581159334186054,-4.93834270302583,0.0216311241276855,*
4,expt,A06,0.417518429040451,0.0263690722341483,-18.5321527905403,0.000368715420773198,***
5,expt,G07,0.366563891743748,0.0886092302595242,-4.56223410371429,0.0108805184494299,*
6,expt,H03,0.450665756230796,0.0865737270952951,-8.00667747156197,0.011441966090678,*
7,expt,B11,0.339652448657188,0.0108820252324452,-27.5829703584544,1.5741143916738e-05,***
