Transfer,Experiment,MeanCommunityFunction,SdCommunityFunction,estimate1,estimate2,p.value,conf.low,conf.high,method,alternative,Asterisk
1,ctrl,0.0541389733341145,0.0307578118039471,0.0541389733341145,0.0643965126811594,0.131748225128199,-0.0236338494544851,0.00311877076039525,Welch Two Sample t-test,two.sided,""
2,ctrl,0.023589194784847,0.00788224128242064,0.023589194784847,0.0574468700861462,0.00612065997562025,-0.0578211979021234,-0.00989415270047499,Welch Two Sample t-test,two.sided,**
3,ctrl,0.029305869547015,0.0138727349420881,0.029305869547015,0.178538932442367,1.66582593278387e-09,-0.193293494733922,-0.105172631056783,Welch Two Sample t-test,two.sided,***
4,ctrl,0.0211443263363905,0.0141061128746142,0.0211443263363905,0.327494216095818,8.36078088897345e-58,-0.323228639957021,-0.289471139561833,Welch Two Sample t-test,two.sided,***
5,ctrl,0.0164239928067988,0.0082730262719171,0.0164239928067988,0.231788595097948,1.70801549665989e-59,-0.226134646983862,-0.204594557598435,Welch Two Sample t-test,two.sided,***
6,ctrl,0.0228615456804343,0.00462669444147312,0.0228615456804343,0.370189728332439,3.7056914509993e-97,-0.353327909687549,-0.341328455616461,Welch Two Sample t-test,two.sided,***
7,ctrl,0.0250178189593728,0.012659958412658,0.0250178189593728,0.303245442463452,2.92433374407841e-161,-0.28220234947348,-0.274252897534678,Welch Two Sample t-test,two.sided,***
1,expt,0.0643965126811594,0.0571414358993941,0.0541389733341145,0.0643965126811594,0.131748225128199,-0.0236338494544851,0.00311877076039525,Welch Two Sample t-test,two.sided,""
2,expt,0.0574468700861462,0.115458842143288,0.023589194784847,0.0574468700861462,0.00612065997562025,-0.0578211979021234,-0.00989415270047499,Welch Two Sample t-test,two.sided,**
3,expt,0.178538932442367,0.207531989921408,0.029305869547015,0.178538932442367,1.66582593278387e-09,-0.193293494733922,-0.105172631056783,Welch Two Sample t-test,two.sided,***
4,expt,0.327494216095818,0.0803374941439638,0.0211443263363905,0.327494216095818,8.36078088897345e-58,-0.323228639957021,-0.289471139561833,Welch Two Sample t-test,two.sided,***
5,expt,0.231788595097948,0.0502186557075889,0.0164239928067988,0.231788595097948,1.70801549665989e-59,-0.226134646983862,-0.204594557598435,Welch Two Sample t-test,two.sided,***
6,expt,0.370189728332439,0.0273116886385216,0.0228615456804343,0.370189728332439,3.7056914509993e-97,-0.353327909687549,-0.341328455616461,Welch Two Sample t-test,two.sided,***
7,expt,0.303245442463452,0.0128825993860692,0.0250178189593728,0.303245442463452,2.92433374407841e-161,-0.28220234947348,-0.274252897534678,Welch Two Sample t-test,two.sided,***
