Transfer,Offspring,OffspringFunction,OffspringFunctionSe,Parent,ParentFunction,ParentFunctionSe,Origin
1,A01,0.0251460690777309,0.00533326126094814,C05,0.0286458333333334,0.00260416666666669,
1,A02,0.0207085274757784,0.00147918053398417,C05,0.0286458333333334,0.00260416666666669,
1,A03,0.0177501664078101,0,C05,0.0286458333333334,0.00260416666666669,
1,A04,0.0192293469417942,0.00147918053398417,C05,0.0286458333333334,0.00260416666666669,
1,A05,0.0177501664078101,0,G12,0.260416666666667,0.0238675817445617,
1,A06,0.0207085274757784,0.00147918053398417,G12,0.260416666666667,0.0238675817445617,
1,A07,0.0177501664078101,0,G12,0.260416666666667,0.0238675817445617,
1,A08,0.0221877080097626,0,G12,0.260416666666667,0.0238675817445617,
1,A09,0.0177501664078101,0,E12,0.116319444444444,0.0225694444444444,
1,A10,0.0281044301456993,0.0103542637378892,E12,0.116319444444444,0.0225694444444444,
1,A11,0.0192293469417942,0.00147918053398417,E12,0.116319444444444,0.0225694444444444,
1,A12,0.0192293469417942,0.00147918053398417,E12,0.116319444444444,0.0225694444444444,
1,B01,0.0207085274757784,0.00147918053398417,B05,0.0312500000000001,0,
1,B02,0.0192293469417942,0.00295836106796835,B05,0.0312500000000001,0,
1,B03,0.0177501664078101,0,B05,0.0312500000000001,0,
1,B04,0.0177501664078101,0,B05,0.0312500000000001,0,
1,B05,0.0251460690777309,0.00295836106796835,G09,0.0885416666666667,0.015625,
1,B06,0.0192293469417942,0.00147918053398417,G09,0.0885416666666667,0.015625,
1,B07,0.0221877080097626,0,G09,0.0885416666666667,0.015625,
1,B08,0.0207085274757784,0.00147918053398417,G09,0.0885416666666667,0.015625,
1,B09,0.0207085274757784,0.00147918053398417,H07,0.116319444444444,0.0125192752620277,
1,B10,0.042896235485541,0.0229630570168775,H07,0.116319444444444,0.0125192752620277,
1,B11,0.0251460690777309,0.00295836106796835,H07,0.116319444444444,0.0125192752620277,
1,B12,0.0221877080097626,0,H07,0.116319444444444,0.0125192752620277,
1,C01,0.0192293469417942,0.00295836106796835,G07,0.0807291666666667,0.0078125,
1,C02,0.0207085274757784,0.00147918053398417,G07,0.0807291666666667,0.0078125,
1,C03,0.0207085274757784,0.00147918053398417,G07,0.0807291666666667,0.0078125,
1,C04,0.0221877080097626,0,G07,0.0807291666666667,0.0078125,
1,C05,0.0133126248058576,0,G10,0.213541666666667,0.0238675817445617,
1,C06,0.0118334442718734,0.00147918053398417,G10,0.213541666666667,0.0238675817445617,
1,C07,0.0162709858738259,0.00147918053398417,G10,0.213541666666667,0.0238675817445617,
1,C08,0.0133126248058576,0,G10,0.213541666666667,0.0238675817445617,
1,C09,0.0325419717476518,0.00147918053398417,H01,0.0954861111111111,0.0356220217511861,
1,C10,0.0310627912136676,0,H01,0.0954861111111111,0.0356220217511861,
1,C11,0.0325419717476518,0.00147918053398417,H01,0.0954861111111111,0.0356220217511861,
1,C12,0.0325419717476518,0.00147918053398417,H01,0.0954861111111111,0.0356220217511861,
1,D01,0.403816285777679,0.0193427954006686,D01,0.345486111111111,0.00347222222222223,D01
1,D02,0.360920050292138,0.0402108637499244,D01,0.345486111111111,0.00347222222222223,D01
1,D03,0.473337770874935,0.00823572866330897,D01,0.345486111111111,0.00347222222222223,D01
1,D04,0.184897566748022,0.0483626439590912,D01,0.345486111111111,0.00347222222222223,D01
1,D05,0.0192293469417942,0.00147918053398417,F12,0.173611111111111,0.0217534098717737,
1,D06,0.0266252496117151,0.00443754160195252,F12,0.173611111111111,0.0217534098717737,
1,D07,0.0207085274757784,0.00147918053398417,F12,0.173611111111111,0.0217534098717737,
1,D08,0.0192293469417942,0.00147918053398417,F12,0.173611111111111,0.0217534098717737,
1,D09,0.0221877080097626,0,A07,0.0902777777777778,0.0200218100601924,
1,D10,0.0207085274757784,0.00147918053398417,A07,0.0902777777777778,0.0200218100601924,
1,D11,0.0221877080097626,0,A07,0.0902777777777778,0.0200218100601924,
1,D12,0.0221877080097626,0,A07,0.0902777777777778,0.0200218100601924,
1,E01,0.427483174321426,0.0174392812995364,B01,0.331597222222222,0.0121527777777778,B01
1,E02,0.448191701797204,0.0209710034446532,B01,0.331597222222222,0.0121527777777778,B01
1,E03,0.491087937282745,0.00823572866330898,B01,0.331597222222222,0.0121527777777778,B01
1,E04,0.533984172768286,0.00782708767417968,B01,0.331597222222222,0.0121527777777778,B01
1,E05,0.0207085274757784,0.00147918053398417,A09,0.152777777777778,0.0279400641309567,
1,E06,0.0192293469417942,0.00147918053398417,A09,0.152777777777778,0.0279400641309567,
1,E07,0.0192293469417942,0.00147918053398417,A09,0.152777777777778,0.0279400641309567,
1,E08,0.0177501664078101,0,A09,0.152777777777778,0.0279400641309567,
1,E09,0.0192293469417942,0.00147918053398417,A05,0.0850694444444445,0.0176196034116184,
1,E10,0.0192293469417942,0.00147918053398417,A05,0.0850694444444445,0.0176196034116184,
1,E11,0.0192293469417942,0.00147918053398417,A05,0.0850694444444445,0.0176196034116184,
1,E12,0.0192293469417942,0.00147918053398417,A05,0.0850694444444445,0.0176196034116184,
1,F01,0.0221877080097626,0,E11,0.0390625,0.00260416666666666,
1,F02,0.0414170549515568,0.0214863383571244,E11,0.0390625,0.00260416666666666,
1,F03,0.0133126248058576,0,E11,0.0390625,0.00260416666666666,
1,F04,0.0207085274757784,0.00147918053398417,E11,0.0390625,0.00260416666666666,
1,F05,0.0147918053398417,0.00147918053398417,E10,0.149305555555556,0.0608382481525529,
1,F06,0.0133126248058576,0.00256201583842745,E10,0.149305555555556,0.0608382481525529,
