Transfer,Offspring,OffspringFunction,MeasurementReplicate,Parent,ParentFunction,Origin
1,E09,0.0221877080097626,1,A05,0.0625,
1,E09,0.0177501664078101,2,A05,0.0729166666666667,
1,E09,0.0177501664078101,3,A05,0.119791666666667,
1,E10,0.0221877080097626,1,A05,0.0625,
1,E10,0.0177501664078101,2,A05,0.0729166666666667,
1,E10,0.0177501664078101,3,A05,0.119791666666667,
1,E11,0.0221877080097626,1,A05,0.0625,
1,E11,0.0177501664078101,2,A05,0.0729166666666667,
1,E11,0.0177501664078101,3,A05,0.119791666666667,
1,E12,0.0221877080097626,1,A05,0.0625,
1,E12,0.0177501664078101,2,A05,0.0729166666666667,
1,E12,0.0177501664078101,3,A05,0.119791666666667,
1,D09,0.0221877080097626,1,A07,0.0677083333333333,
1,D09,0.0221877080097626,2,A07,0.0729166666666667,
1,D09,0.0221877080097626,3,A07,0.130208333333333,
1,D10,0.0221877080097626,1,A07,0.0677083333333333,
1,D10,0.0177501664078101,2,A07,0.0729166666666667,
1,D10,0.0221877080097626,3,A07,0.130208333333333,
1,D11,0.0221877080097626,1,A07,0.0677083333333333,
1,D11,0.0221877080097626,2,A07,0.0729166666666667,
1,D11,0.0221877080097626,3,A07,0.130208333333333,
1,D12,0.0221877080097626,1,A07,0.0677083333333333,
1,D12,0.0221877080097626,2,A07,0.0729166666666667,
1,D12,0.0221877080097626,3,A07,0.130208333333333,
1,E05,0.0177501664078101,1,A09,0.119791666666667,
1,E05,0.0221877080097626,2,A09,0.130208333333333,
1,E05,0.0221877080097626,3,A09,0.208333333333333,
1,E06,0.0177501664078101,1,A09,0.119791666666667,
1,E06,0.0177501664078101,2,A09,0.130208333333333,
1,E06,0.0221877080097626,3,A09,0.208333333333333,
1,E07,0.0177501664078101,1,A09,0.119791666666667,
1,E07,0.0177501664078101,2,A09,0.130208333333333,
1,E07,0.0221877080097626,3,A09,0.208333333333333,
1,E08,0.0177501664078101,1,A09,0.119791666666667,
1,E08,0.0177501664078101,2,A09,0.130208333333333,
1,E08,0.0177501664078101,3,A09,0.208333333333333,
1,G05,0.0177501664078101,1,A11,0.0989583333333333,
1,G05,0.0443754160195252,2,A11,0.104166666666667,
1,G05,0.0399378744175727,3,A11,0.21875,
1,G06,0.0177501664078101,1,A11,0.0989583333333333,
1,G06,0.0221877080097626,2,A11,0.104166666666667,
1,G06,0.0266252496117151,3,A11,0.21875,
1,G07,0.0177501664078101,1,A11,0.0989583333333333,
1,G07,0.0177501664078101,2,A11,0.104166666666667,
1,G07,0.0133126248058576,3,A11,0.21875,
1,G08,0.0221877080097626,1,A11,0.0989583333333333,
1,G08,0.0221877080097626,2,A11,0.104166666666667,
1,G08,0.0177501664078101,3,A11,0.21875,
1,E01,0.417128910583537,1,B01,0.3125,B01
1,E01,0.403816285777679,2,B01,0.328125,B01
1,E01,0.461504326603062,3,B01,0.354166666666667,B01
1,E02,0.417128910583537,1,B01,0.3125,B01
1,E02,0.439316618593299,2,B01,0.328125,B01
1,E02,0.488129576214777,3,B01,0.354166666666667,B01
1,E03,0.474816951408919,1,B01,0.3125,B01
1,E03,0.501442201020635,2,B01,0.328125,B01
1,E03,0.497004659418682,3,B01,0.354166666666667,B01
1,E04,0.536942533836255,1,B01,0.3125,B01
1,E04,0.519192367428445,2,B01,0.328125,B01
1,E04,0.54581761704016,3,B01,0.354166666666667,B01
1,B01,0.0221877080097626,1,B05,0.0312500000000001,
1,B01,0.0221877080097626,2,B05,0.0312500000000001,
1,B02,0.0221877080097626,1,B05,0.0312500000000001,
1,B02,0.0221877080097626,2,B05,0.0312500000000001,
1,B03,0.0177501664078101,1,B05,0.0312500000000001,
1,B03,0.0177501664078101,2,B05,0.0312500000000001,
1,B04,0.0177501664078101,1,B05,0.0312500000000001,
1,B04,0.0177501664078101,2,B05,0.0312500000000001,
1,A01,0.0221877080097626,1,C05,0.0312500000000001,
1,A01,0.0355003328156202,2,C05,0.0260416666666667,
1,A02,0.0221877080097626,1,C05,0.0312500000000001,
1,A02,0.0221877080097626,2,C05,0.0260416666666667,
1,A03,0.0177501664078101,1,C05,0.0312500000000001,
1,A03,0.0177501664078101,2,C05,0.0260416666666667,
1,A04,0.0177501664078101,1,C05,0.0312500000000001,
1,A04,0.0221877080097626,2,C05,0.0260416666666667,
1,H01,0.0621255824273353,1,C08,0.046875,
1,H01,0.0798757488351453,2,C08,0.0885416666666667,
1,H02,0.0443754160195252,1,C08,0.046875,
1,H02,0.0488129576214777,2,C08,0.0885416666666667,
1,H03,0.0576880408253827,1,C08,0.046875,
1,H03,0.0976259152429554,2,C08,0.0885416666666667,
1,H04,0.0488129576214777,1,C08,0.046875,
1,H04,0.0576880408253827,2,C08,0.0885416666666667,
1,D01,0.372753494564012,1,D01,0.348958333333333,D01
1,D01,0.399378744175727,2,D01,0.338541666666667,D01
1,D01,0.439316618593299,3,D01,0.348958333333333,D01
1,D02,0.306190370534724,1,D01,0.348958333333333,D01
1,D02,0.337253161748391,2,D01,0.338541666666667,D01
1,D02,0.439316618593299,3,D01,0.348958333333333,D01
1,D03,0.457066785001109,1,D01,0.348958333333333,D01
1,D03,0.479254493010872,2,D01,0.338541666666667,D01
