Transfer,Community,Count,TotalCount,Frequency
T1,A01,1,92,0.0108695652173913
T1,B01,1,92,0.0108695652173913
T1,C01,1,92,0.0108695652173913
T1,D01,1,92,0.0108695652173913
T1,E01,1,92,0.0108695652173913
T1,F01,1,92,0.0108695652173913
T1,G01,1,92,0.0108695652173913
T1,H01,1,92,0.0108695652173913
T1,A02,1,92,0.0108695652173913
T1,B02,1,92,0.0108695652173913
T1,C02,1,92,0.0108695652173913
T1,D02,1,92,0.0108695652173913
T1,E02,1,92,0.0108695652173913
T1,F02,1,92,0.0108695652173913
T1,G02,1,92,0.0108695652173913
T1,H02,1,92,0.0108695652173913
T1,A03,1,92,0.0108695652173913
T1,B03,1,92,0.0108695652173913
T1,C03,1,92,0.0108695652173913
T1,D03,1,92,0.0108695652173913
T1,E03,1,92,0.0108695652173913
T1,F03,1,92,0.0108695652173913
T1,G03,1,92,0.0108695652173913
T1,H03,1,92,0.0108695652173913
T1,A04,1,92,0.0108695652173913
T1,B04,1,92,0.0108695652173913
T1,C04,1,92,0.0108695652173913
T1,D04,1,92,0.0108695652173913
T1,E04,1,92,0.0108695652173913
T1,F04,1,92,0.0108695652173913
T1,G04,1,92,0.0108695652173913
T1,H04,1,92,0.0108695652173913
T1,A05,1,92,0.0108695652173913
T1,B05,1,92,0.0108695652173913
T1,C05,1,92,0.0108695652173913
T1,D05,1,92,0.0108695652173913
T1,E05,1,92,0.0108695652173913
T1,F05,1,92,0.0108695652173913
T1,G05,1,92,0.0108695652173913
T1,H05,1,92,0.0108695652173913
T1,A06,1,92,0.0108695652173913
T1,B06,1,92,0.0108695652173913
T1,C06,1,92,0.0108695652173913
T1,D06,1,92,0.0108695652173913
T1,E06,1,92,0.0108695652173913
T1,F06,1,92,0.0108695652173913
T1,G06,1,92,0.0108695652173913
T1,H06,1,92,0.0108695652173913
T1,A07,1,92,0.0108695652173913
T1,B07,1,92,0.0108695652173913
T1,C07,1,92,0.0108695652173913
T1,D07,1,92,0.0108695652173913
T1,E07,1,92,0.0108695652173913
T1,F07,1,92,0.0108695652173913
T1,G07,1,92,0.0108695652173913
T1,H07,1,92,0.0108695652173913
T1,A08,1,92,0.0108695652173913
T1,B08,1,92,0.0108695652173913
T1,C08,1,92,0.0108695652173913
T1,D08,1,92,0.0108695652173913
T1,E08,1,92,0.0108695652173913
T1,F08,1,92,0.0108695652173913
T1,G08,1,92,0.0108695652173913
T1,H08,1,92,0.0108695652173913
T1,A09,1,92,0.0108695652173913
T1,B09,1,92,0.0108695652173913
T1,C09,1,92,0.0108695652173913
T1,D09,1,92,0.0108695652173913
T1,E09,1,92,0.0108695652173913
T1,F09,1,92,0.0108695652173913
T1,G09,1,92,0.0108695652173913
T1,A10,1,92,0.0108695652173913
T1,B10,1,92,0.0108695652173913
T1,C10,1,92,0.0108695652173913
T1,D10,1,92,0.0108695652173913
T1,E10,1,92,0.0108695652173913
T1,F10,1,92,0.0108695652173913
T1,G10,1,92,0.0108695652173913
T1,A11,1,92,0.0108695652173913
T1,B11,1,92,0.0108695652173913
T1,C11,1,92,0.0108695652173913
T1,D11,1,92,0.0108695652173913
T1,E11,1,92,0.0108695652173913
T1,F11,1,92,0.0108695652173913
T1,G11,1,92,0.0108695652173913
T1,A12,1,92,0.0108695652173913
T1,B12,1,92,0.0108695652173913
T1,C12,1,92,0.0108695652173913
T1,D12,1,92,0.0108695652173913
T1,E12,1,92,0.0108695652173913
T1,F12,1,92,0.0108695652173913
T1,G12,1,92,0.0108695652173913
T2,A01,0,,0
T2,B01,4,92,0.0434782608695652
T2,C01,0,,0
T2,D01,4,92,0.0434782608695652
T2,E01,0,,0
T2,F01,0,,0
T2,G01,0,,0
T2,H01,4,92,0.0434782608695652
T2,A02,0,,0
T2,B02,0,,0
T2,C02,0,,0
T2,D02,0,,0
T2,E02,0,,0
T2,F02,0,,0
T2,G02,0,,0
T2,H02,0,,0
T2,A03,0,,0
T2,B03,0,,0
T2,C03,0,,0
T2,D03,0,,0
T2,E03,0,,0
T2,F03,0,,0
T2,G03,0,,0
T2,H03,0,,0
T2,A04,0,,0
T2,B04,0,,0
T2,C04,0,,0
T2,D04,0,,0
T2,E04,0,,0
T2,F04,0,,0
T2,G04,0,,0
T2,H04,0,,0
T2,A05,4,92,0.0434782608695652
T2,B05,4,92,0.0434782608695652
T2,C05,4,92,0.0434782608695652
T2,D05,0,,0
T2,E05,0,,0
T2,F05,0,,0
T2,G05,0,,0
T2,H05,4,92,0.0434782608695652
T2,A06,0,,0
T2,B06,0,,0
T2,C06,0,,0
T2,D06,0,,0
T2,E06,0,,0
T2,F06,0,,0
T2,G06,0,,0
T2,H06,0,,0
T2,A07,4,92,0.0434782608695652
T2,B07,0,,0
T2,C07,0,,0
T2,D07,0,,0
T2,E07,0,,0
T2,F07,0,,0
T2,G07,4,92,0.0434782608695652
T2,H07,4,92,0.0434782608695652
T2,A08,0,,0
T2,B08,0,,0
T2,C08,4,92,0.0434782608695652
T2,D08,0,,0
T2,E08,0,,0
T2,F08,4,92,0.0434782608695652
