T1,T2,T3,T4,T5,T6,T7
A01,B02,G02,G03,G04,E03,F04
B01,D02,F04,G04,E03,F04,F04
C01,G02,G04,G03,G04,E03,F04
D01,E03,H04,F04,F04,G03,G04
E01,G03,E03,G04,G03,G04,E03
F01,F04,G03,E03,F04,F04,G03
G01,G04,F04,F04,G03,G04,F04
H01,H04,F04,G04,G04,F04,G03
A02,B02,G02,G03,G04,E03,F04
B02,D02,F04,G04,E03,F04,F04
C02,G02,G04,G03,G04,E03,F04
D02,E03,H04,F04,F04,G03,G04
E02,G03,E03,G04,G03,G04,E03
F02,F04,G03,E03,F04,F04,G03
G02,G04,F04,F04,G03,G04,F04
H02,H04,F04,G04,G04,F04,G03
A03,B02,G02,G03,G04,E03,F04
B03,D02,F04,G04,E03,F04,F04
C03,G02,G04,G03,G04,E03,F04
D03,E03,H04,F04,F04,G03,G04
E03,G03,E03,G04,G03,G04,E03
F03,F04,G03,E03,F04,F04,G03
G03,G04,F04,F04,G03,G04,F04
H03,H04,F04,G04,G04,F04,G03
A04,B02,G02,G03,G04,E03,F04
B04,D02,F04,G04,E03,F04,F04
C04,G02,G04,G03,G04,E03,F04
D04,E03,H04,F04,F04,G03,G04
E04,G03,E03,G04,G03,G04,E03
F04,F04,G03,E03,F04,F04,G03
G04,G04,F04,F04,G03,G04,F04
H04,H04,F04,G04,G04,F04,G03
A05,C05,E06,D05,G04,G03,G04
B05,D05,G06,D05,A07,G04,F04
C05,H05,C05,E06,C05,A07,E12
D05,B06,D05,C05,A07,A07,A07
E05,C06,E06,A07,C11,C11,C11
F05,E06,A07,C11,A07,E12,A07
G05,G06,A07,,E12,A07,E12
H05,A07,D05,B12,E12,C11,
A06,C05,E06,D05,G04,G03,G04
B06,D05,G06,D05,A07,G04,F04
C06,H05,C05,E06,C05,A07,E12
D06,B06,D05,C05,A07,A07,A07
E06,C06,E06,A07,C11,C11,C11
F06,E06,A07,C11,A07,E12,A07
G06,G06,A07,,E12,A07,E12
H06,A07,D05,B12,E12,C11,
A07,C05,E06,D05,G04,G03,G04
B07,D05,G06,D05,A07,G04,F04
C07,H05,C05,E06,C05,A07,E12
D07,B06,D05,C05,A07,A07,A07
E07,C06,E06,A07,C11,C11,C11
F07,E06,A07,C11,A07,E12,A07
G07,G06,A07,,E12,A07,E12
H07,A07,D05,B12,E12,C11,
A08,C05,E06,D05,G04,G03,G04
B08,D05,G06,D05,A07,G04,F04
C08,H05,C05,E06,C05,A07,E12
D08,B06,D05,C05,A07,A07,A07
E08,C06,E06,A07,C11,C11,C11
F08,E06,A07,C11,A07,E12,A07
G08,G06,A07,,E12,A07,E12
H08,A07,D05,B12,E12,C11,
A09,B07,B12,D12,E10,E12,E10
B09,E10,D12,C11,,D12,E12
C09,,,E12,C11,,
D09,C11,C11,,E12,E10,E12
E09,B12,E12,E12,E12,C11,
F09,D12,,,D12,E12,E10
G09,E12,E10,E10,C11,D12,E12
A10,B07,B12,D12,E10,E12,E10
B10,E10,D12,C11,,D12,E12
C10,,,E12,C11,,
D10,C11,C11,,E12,E10,E12
E10,B12,E12,E12,E12,C11,
F10,D12,,,D12,E12,E10
G10,E12,E10,E10,C11,D12,E12
A11,B07,B12,D12,E10,E12,E10
B11,E10,D12,C11,,D12,E12
C11,,,E12,C11,,
D11,C11,C11,,E12,E10,E12
E11,B12,E12,E12,E12,C11,
F11,D12,,,D12,E12,E10
G11,E12,E10,E10,C11,D12,E12
A12,B07,B12,D12,E10,E12,E10
B12,E10,D12,C11,,D12,E12
C12,,,E12,C11,,
D12,C11,C11,,E12,E10,E12
E12,B12,E12,E12,E12,C11,
F12,D12,,,D12,E12,E10
G12,E12,E10,E10,C11,D12,E12
