T1,T2,T3,T4,T5,T6,T7
A01,C05,B01,B01,B01,B01,B01
B01,B05,B01,B01,B01,B01,B01
C01,G07,D01,B01,B01,B01,B01
D01,D01,B01,B01,,B01,B01
E01,B01,B01,B01,D01,B01,B01
F01,E11,D01,B01,B01,,B01
G01,F08,D01,B01,B01,B01,B01
H01,C08,D01,B01,D01,B01,B01
A02,C05,B01,B01,B01,B01,B01
B02,B05,B01,B01,B01,B01,B01
C02,G07,D01,B01,B01,B01,B01
D02,D01,B01,B01,,B01,B01
E02,B01,B01,B01,D01,B01,B01
F02,E11,D01,B01,B01,,B01
G02,F08,D01,B01,B01,B01,B01
H02,C08,D01,B01,D01,B01,B01
A03,C05,B01,B01,B01,B01,B01
B03,B05,B01,B01,B01,B01,B01
C03,G07,D01,B01,B01,B01,B01
D03,D01,B01,B01,,B01,B01
E03,B01,B01,B01,D01,B01,B01
F03,E11,D01,B01,B01,,B01
G03,F08,D01,B01,B01,B01,B01
H03,C08,D01,B01,D01,B01,B01
A04,C05,B01,B01,B01,B01,B01
B04,B05,B01,B01,B01,B01,B01
C04,G07,D01,B01,B01,B01,B01
D04,D01,B01,B01,,B01,B01
E04,B01,B01,B01,D01,B01,B01
F04,E11,D01,B01,B01,,B01
G04,F08,D01,B01,B01,B01,B01
H04,C08,D01,B01,D01,B01,B01
A05,G12,C08,B01,B01,B01,B01
B05,G09,C08,D01,B01,B01,B01
C05,G10,C08,D01,B01,B01,
D05,F12,F10,D01,B01,B01,
E05,A09,C08,B01,B01,B01,B01
F05,E10,H07,B01,B01,,B01
G05,A11,E11,D01,B01,B01,B01
H05,F10,A11,B01,B01,B01,
A06,G12,C08,B01,B01,B01,B01
B06,G09,C08,D01,B01,B01,B01
C06,G10,C08,D01,B01,B01,
D06,F12,F10,D01,B01,B01,
E06,A09,C08,B01,B01,B01,B01
F06,E10,H07,B01,B01,,B01
G06,A11,E11,D01,B01,B01,B01
H06,F10,A11,B01,B01,B01,
A07,G12,C08,B01,B01,B01,B01
B07,G09,C08,D01,B01,B01,B01
C07,G10,C08,D01,B01,B01,
D07,F12,F10,D01,B01,B01,
E07,A09,C08,B01,B01,B01,B01
F07,E10,H07,B01,B01,,B01
G07,A11,E11,D01,B01,B01,B01
H07,F10,A11,B01,B01,B01,
A08,G12,C08,B01,B01,B01,B01
B08,G09,C08,D01,B01,B01,B01
C08,G10,C08,D01,B01,B01,
D08,F12,F10,D01,B01,B01,
E08,A09,C08,B01,B01,B01,B01
F08,E10,H07,B01,B01,,B01
G08,A11,E11,D01,B01,B01,B01
H08,F10,A11,B01,B01,B01,
A09,E12,H01,D01,B01,B01,
B09,H07,H01,D01,B01,B01,B01
C09,H01,H01,B01,B01,B01,B01
D09,A07,,D01,B01,B01,B01
E09,A05,H01,D01,B01,B01,B01
F09,H05,E12,D01,B01,B01,B01
G09,D12,F12,B01,B01,B01,
A10,E12,H01,D01,B01,B01,
B10,H07,H01,D01,B01,B01,B01
C10,H01,H01,B01,B01,B01,B01
D10,A07,,D01,B01,B01,B01
E10,A05,H01,D01,B01,B01,B01
F10,H05,E12,D01,B01,B01,B01
G10,D12,F12,B01,B01,B01,
A11,E12,H01,D01,B01,B01,
B11,H07,H01,D01,B01,B01,B01
C11,H01,H01,B01,B01,B01,B01
D11,A07,,D01,B01,B01,B01
E11,A05,H01,D01,B01,B01,B01
F11,H05,E12,D01,B01,B01,B01
G11,D12,F12,B01,B01,B01,
A12,E12,H01,D01,B01,B01,
B12,H07,H01,D01,B01,B01,B01
C12,H01,H01,B01,B01,B01,B01
D12,A07,,D01,B01,B01,B01
E12,A05,H01,D01,B01,B01,B01
F12,H05,E12,D01,B01,B01,B01
G12,D12,F12,B01,B01,B01,
